dia;mes;ano;rede;email;netrac;sisac
3;1;2005;66;67;44;34
4;1;2005;73;75;35;16
5;1;2005;71;74;44;37
6;1;2005;63;65;;33
7;1;2005;65;67;45;26
10;1;2005;65;66;30;41
11;1;2005;56;57;38;11
12;1;2005;56;57;24;26
13;1;2005;54;56;34;11
14;1;2005;61;63;32;28
17;1;2005;58;59;40;40
18;1;2005;64;65;29;22
19;1;2005;62;64;42;30
20;1;2005;69;72;33;12
21;1;2005;77;78;47;25
24;1;2005;65;68;35;46
25;1;2005;64;67;45;23
26;1;2005;58;61;27;26
27;1;2005;54;58;;39
28;1;2005;62;64;28;25
31;1;2005;56;58;35;37
1;2;2005;64;66;34;43
2;2;2005;66;68;;46
3;2;2005;68;70;32;8
4;2;2005;60;61;;41
7;2;2005;65;67;;30
8;2;2005;76;77;46;34
9;2;2005;72;74;38;32
10;2;2005;67;69;46;27
11;2;2005;62;65;29;13
14;2;2005;66;68;45;30
15;2;2005;62;64;28;23
16;2;2005;57;59;35;16
17;2;2005;63;66;34;38
18;2;2005;61;64;43;17
21;2;2005;62;64;28;36
22;2;2005;67;69;45;33
23;2;2005;70;72;33;36
24;2;2005;74;76;46;32
25;2;2005;74;76;;40
28;2;2005;62;65;44;27
1;3;2005;68;70;32;29
2;3;2005;68;71;47;44
3;3;2005;61;63;;28
4;3;2005;69;71;43;19
7;3;2005;76;77;;40
8;3;2005;68;70;47;25
9;3;2005;83;85;41;24
10;3;2005;83;85;55;31
11;3;2005;81;83;40;29
14;3;2005;76;77;46;39
15;3;2005;79;81;43;22
16;3;2005;78;80;53;13
17;3;2005;67;69;31;32
18;3;2005;70;71;47;50
21;3;2005;66;68;31;32
22;3;2005;62;64;38;28
23;3;2005;57;58;29;16
24;3;2005;60;62;42;10
25;3;2005;64;65;29;44
28;3;2005;62;63;42;16
29;3;2005;60;62;27;37
30;3;2005;71;72;43;26
31;3;2005;58;59;29;25
1;4;2005;56;57;39;19
4;4;2005;60;61;27;28
5;4;2005;62;64;42;37
6;4;2005;60;62;27;34
7;4;2005;57;58;35;19
8;4;2005;62;63;32;11
11;4;2005;56;57;39;32
12;4;2005;63;64;28;14
13;4;2005;57;58;39;28
14;4;2005;65;66;30;26
15;4;2005;62;63;;38
18;4;2005;53;54;26;21
19;4;2005;59;60;41;23
20;4;2005;64;66;30;29
21;4;2005;54;55;37;10
22;4;2005;54;55;23;37
25;4;2005;60;61;37;27
26;4;2005;57;58;29;20
27;4;2005;53;54;37;22
28;4;2005;54;55;23;17
29;4;2005;58;61;41;12
2;5;2005;52;55;23;26
3;5;2005;61;65;39;38
4;5;2005;52;57;28;10
5;5;2005;49;54;37;16
6;5;2005;40;44;16;19
9;5;2005;45;48;33;35
10;5;2005;43;47;18;23
11;5;2005;43;47;28;32
12;5;2005;46;50;24;34
13;5;2005;39;44;31;19
16;5;2005;47;48;19;27
17;5;2005;53;57;38;33
18;5;2005;51;55;23;31
19;5;2005;45;50;30;14
